"","gene","clone_id","AASA_fold_clone","AASA_fdr_clone","log2FoldChange","fdr"
"7885","KBTBD3","SB02034B2D08.f1",1.127303485,0.152890728,0.172875960375737,0.815618851412631
"7886","KBTBD3","SB03032A1F01.f1",0.983703743,0.818380432,-0.0237042029595137,0.0870447634308189
"7887","KLF11","SB02023A1B12.f1",1.074026188,0.474712716,0.103029171011515,0.323569134798037
"7888","YWHAQ","SB02030B1A08.f1",0.895285632,0.251979442,-0.159580061529541,0.598634890131782
"7889","YWHAQ","SB02043A1G08.f1",0.847411015,0.039016359,-0.238866213314903,1.40875326133791
"7890","YWHAQ","SB03051A1A03.f1",0.871229532,0.022237964,-0.19887523708158,1.65290497716379
"7891","ASAP2","SB03021A2F12.f1",1.084052908,0.336219656,0.116435170203334,0.473376900525334
"7892","KIDINS220","SB02012A2H02.f1",1.153665334,0.172257366,0.20622477424129,0.76382219789781
"7893","KIDINS220","SB02035B2G05.f1",1.083153091,0.120771025,0.115237165400096,0.918037247767958
"7894","RNF144A","SB03003A2A10.f1",1.154703536,0.216813109,0.207522494893565,0.663914462935085
"7895","RNF144A","SB03051A1D09.f1",1.227633963,0.116348741,0.295880464222582,0.934238311816108
"7896","SOX11","SB02014A1C07.f2",0.983839229,0.935248736,-0.0235055135449489,0.0290728700836157
"7897","SOX11","SB02029B1B11.f1",1.100477595,0.260758249,0.138129773206361,0.583761943923425
"7898","SOX11","SB03009B1G01.f1",0.96133422,0.580367442,-0.0568900055019772,0.236296959012295
"7899","EIPR1","SB02031A2F03.f1",1.085105536,0.546677718,0.117835364199219,0.262268627127016
"7900","MYT1L","SB02017A2A02.f1",1.416064718,0.177232061,0.501887202005678,0.751457712156072
"7901","MYT1L","SB03004A2G09.f1",0.848648769,0.180543384,-0.236760507028489,0.743418421637251
"7902","MYT1L","SB03038B1G12.f1",1.206930776,0.284168454,0.271342932111599,0.54642413546605
"7903","MYT1L","SB03016A1G05.f1",1.218300761,0.436534335,0.28487033426207,0.359981591787509
"7904","AASDHPPT","SB02006B2D08.f1",0.957335593,0.933929792,-0.0629033462613966,0.0296857705504552
"7905","TAGLN3","SB02017A1C11.f1",0.975760515,0.749811706,-0.0354009903549648,0.125047783691048
"7906","GUCY1A2","SB02022B2G09.f1",1.030710553,0.802858507,0.043639247953813,0.0953609865315864
"7907","GUCY1A2","SB02043A1D10.f1",1.080958304,0.511154268,0.1123108748093,0.291448008612743
"7908","GUCY1A2","SB03040B2A10.f1",1.00992156,0.940702752,0.0142432440724935,0.0265475854566578
"7909","LOC100190340","SB03014B2E11.f1",0.941293026,0.396675378,-0.0872841887780828,0.401564755741112
"7910","LOC100190340","SB03047A2C05.f1",0.872276957,0.053300026,-0.197141816478297,1.27327257912251
"7911","HNRNPDL","SB02035A1E01.f1",0.93171344,0.710082992,-0.102041790501817,0.148690889504485
"7912","QRFPR","SB02035A2E12.f1",1.016198956,0.933929792,0.0231828870849133,0.0296857705504552
"7913","TENM3","SB02030B1C01.f1",0.853448237,0.266130298,-0.228624440741593,0.574905679732062
"7914","TENM3","SB03005A1G01.f1",1.187755138,0.255536809,0.248237447583181,0.592546532734063
"7915","TENM3","SB03009B1F05.f1",1.073477606,0.488109304,0.102292095202525,0.311482914045283
"7916","TENM3","SB03035B2B03.f1",1.104683038,0.394067233,0.143632482646655,0.404429675560461
"7917","NR3C2","SB03014A2E09.f1",1.120811267,0.103767456,0.164543363703749,0.983938830454039
"7918","RAB11FIP5","SB03023A1A03.f1",1.039009282,0.694859038,0.0552085426305316,0.158103289262995
"7919","DQX1","SB02010A2C09.f1",1.000514677,0.990487571,0.000742330941610809,0.00415096977710755
"7920","HTRA2","SB03046A2B12.f1",0.852230249,0.054850673,-0.230684835547006,1.26081803940389
"7921","LOC105759242","SB02040B2B04.f1",1.015925154,0.793521254,0.0227941187138951,0.100441436431123
"7922","LRBA","SB02019A2H01.f1",1.088337437,0.227393002,0.122125930862239,0.643222904817806
"7923","LRBA","SB02048A1H03.f1",1.0410653,0.546471293,0.0580605633842537,0.262432647290032
"7924","LRBA","SB03010B2C11.f1",0.975530326,0.74188563,-0.035741372755507,0.129663040931637
"7925","LRBA","SB03051A1B06.f1",1.021921201,0.889162982,0.0312839562467821,0.0510186263236797
"7926","WDFY3","SB03017A1A01.f1",1.443545045,0.122432082,0.529616126752404,0.912104765116042
"7927","WDFY3","SB03030B2E12.f1",1.568923136,0.037137364,0.649774674149256,1.43018892560653
"7928","WDFY3","SB03001B1C05.f1",1.230546613,0.004630174,0.299299307995377,2.33440268807061
"7929","CUL5","SB03011A1C10.f1",1.018143566,0.90109121,0.0259410067502162,0.0452312467625248
"7930","SPATA5","SB03006A1B09.f1",0.936288054,0.640911798,-0.0949756439847041,0.193201733784731
"7931","BBS12","SB03005B1G05.f1",0.837141757,0.04569649,-0.256456153348956,1.34011715730815
"7932","SPRY1","SB02024A2C07.f1",1.184776448,0.195588404,0.244614866897968,0.708656897135831
"7933","ATM","SB03008A1B06.f1",1.127650965,0.333832153,0.173320588139083,0.476471836626242
